Index,GO,Genes,Gene_Count,Truth Label
10,GO:0046851,CARTPT GREM1 HAMP GPR137 TNFAIP3 IL6 GPR137B CSK TMEM119 CALCA TNFRSF11B CD38 CLDN18 UBASH3B SFRP1 INPP5D P2RX7 IAPP,18,negative regulation of bone remodeling
11,GO:0006195,NT5E NT5C1B SAMHD1 XDH NUDT16 ACOT7 NUDT8 NUDT11 NUDT4 FITM2 SUCLG1 NUDT18 PDE8B PDE4C AMPD3 NT5C1A PDE4B NUDT3 NT5C NT5C2 PDE5A PDE4A NUDT19 PDE4D MLYCD HPRT1 PDE7A NUDT7 PDE7B NUDT9 PDE9A ABCD1 PRTFDC1 PDE2A ITPA DNPH1 PDE8A HINT1 SUCLA2 ADA GDA ACAT1 PNP PDE10A SUCLG2 ENTPD4 NUDT10 NUDT15 NT5C1B-RDH14,49,purine nucleotide catabolic process
12,GO:0035564,PAX2 HNF1A ASXL1 LRRK2 HNF1B AGTR2,6,regulation of kidney size
13,GO:0090075,ATP1A2 GSTM2 ABCC8 SLN KBTBD13 DCANP1 PRKG1 ATP1B1 KCNMA1 PDE4B NEUROG1 PDE5A SLC8A1 P2RY1 PDE4D GRK2 P2RX4 SOD1 CAMK2D ADORA1 ADORA2B GUCY1A1 ATP1A1 PLN CHGA TIFAB KCNJ2 SRI PIK3CA ATP2A1 HRC ACTN3 GSN RGS2,34,relaxation of muscle
14,GO:0035270,SIX3 GATA2 BRAF THRA BMAL1 WT1 POU1F1 EDN1 CDH2 TUBB1 HOXA5 TSPO AKT1 GCM2 CGA DKK3 SOX4 SMO SOX3 ISL1 FOXE1 SIDT2 RFX3 GHRH LHX3 NEUROG3 CDKN1C INSM1 GSK3A CDK6 WNT4 NR5A1 GSK3B CITED2 GIP DLL1 TBX19 PCSK1 ARID5B NKX6-2 GSX1 RFX6 ARMC5 GLI1 HOXD3 HOXB3 SALL1 HOXA3 NKX2-5 NF1 MAPK3 INHBB MNX1 BMP5 ANXA1 MAPK1 WNT5A PITX1 BMP2 CLOCK RBPJ TGFBR1 RHEB MAP2K2 SLC6A3 STRA6 SRD5A1 PBX1 CRKL ZNF800 MAP2K1 NR0B1 MDK FGF10 FGF2 GATA6 BHLHA15 HES1 BAK1 IL6R PAX6 ONECUT2 IL6 EDNRA GDF11 ASCL1 SMAD4 GATA3 RAP1GAP NR3C1 TBX1 SIX1 PDX1 NEUROD1 NOG PROP1 ONECUT1 CRHR1 CREB1 FGF8 POU3F2 LINC02210-CRHR1 SMAD2 PITX2 NKX6-1 ALDH1A2 INSR SHH FOXA2 PDPK1 GIPR RAF1 PAX8 NKX2-1 GHRHR SOX9 WNT11 OTP EIF2AK3 SOX2 BAD HESX1 TG SRF BMP6 GLI2 CDH1 APOA1 CYP1B1 DRD2 SMAD3 NKX2-2 CRH BMPR1A BMP4 MEN1 HNF4A PDGFRA,138,endocrine system development
15,GO:0090207,CNEP1R1 FGF21 PLIN5 FITM2 APOA4 DGAT2 SCARB1 LDLR ATG14 LPIN1 NR1H2 PNPLA2 LOC102724428 SIK1 SREBF1 NR1H3 ABHD5 KAT5 APOE FBXW7 PIK3CG GPLD1 C3 APOA1 APOA5 CTDNEP1 RGN SORL1 AADAC APOBEC1 THRSP TBL1XR1 SLC27A1 APOC3 DAGLB MFSD2A APOC2 SERPINA12 GNB3 MBOAT7 PANK2,41,regulation of triglyceride metabolic process
16,GO:1904861,LRRC4B SRGAP2 PTK2B ZDHHC12 LRRTM2 NRXN2 PTEN NLGN2 WNT7A GRID2 SEMA4A LRFN4 C1QL2 NRXN1 C1QL3 PTPN13 VSTM5 PLXNB2 CBLN1 NTRK3 LRRC4 SRGAP2C ABI3 PTPRD SLITRK3 NLGN1 CRIPT NPTN WNT5A IL1RAP NPTX1,31,excitatory synapse assembly
17,GO:1903624,APAF1 DFFA ATM IL6 HSF1 CIDEA BAX ENDOG RGN AIFM1 DFFB,11,regulation of DNA catabolic process
18,GO:0060971,CITED2 PIFO MEGF8 NKX2-5 PITX2,5,embryonic heart tube left/right pattern formation
19,GO:0001579,SLC27A1 SLC27A4,2,medium-chain fatty acid transport
20,GO:0070729,ABCC4 SLC19A1 LRRC8A ABCC5 LRRC8E LRRC8D LRRC8C,7,cyclic nucleotide transport
21,GO:0039020,HNF1B AHI1,2,pronephric nephron tubule development
22,GO:0015821,SLC7A5 SLC38A7 SLC3A2 SLC43A2,4,methionine transport
