ID,Name,Count,Genes
Doramapimod,Doramapimod,6,MAPK14 MAPK11 MAPK12 MAPK13 MAPK9 HCK
ERK_2440,ERK_2440,2,MAPK3 MAPK1
N27922-53-1,N27922-53-1,0,
PCI-34051,PCI-34051,4,HDAC8 HDAC6 HDAC1 HDAC10
Temsirolimus,Temsirolimus,4,MTOR FKBP1A RPS6KB1 EIF4EBP1
YK-4-279,YK-4-279,3,DHX9 EWSR1 FLI1
AZD8055,AZD8055,6,MTOR BID BAD BCL2L11 MCL1 MYC
Luminespib,Luminespib,2,HSP90AA1 HSP90AB1
Afuresertib,Afuresertib,3,AKT1 AKT2 AKT3
VTP-B,VTP-B,0,
Telomerase Inhibitor IX,Telomerase Inhibitor IX,1,TERT
JQ1,JQ1,4,BRD4 BRDT BRD2 BRD3
I-BRD9,I-BRD9,6,BRD9 PARP CASP9 CASP3 CDKN1A CDKN2B
Sabutoclax,Sabutoclax,4,BCL2 BCL2L1 BCL2A1 MCL1
CDK9_5038,CDK9_5038,8,CDK9 RNA polymerase II MYC MCL1 DSIF NELF
GSK2830371A,GSK2830371A,2,PPM1D TP53
Elephantin,Elephantin,0,
Wnt-C59,Wnt-C59,6,PORCN CTNNB1 AXIN2 FOXM1 CCND1 MYC
GSK2606414,GSK2606414,4,EIF2AK3 EIF2S1 ATF4 DDIT3
JAK1_8709,JAK1_8709,1,JAK1
Refametinib,Refametinib,2,MAP2K1 MAP2K2
SB505124,SB505124,3,TGFBR1 ACVR1B ACVR1C
AZD5153,AZD5153,8,BRD4 MYC BCL2 WEE1 MLH1 MSH2 MSH6 PMS2
PD0325901,PD0325901,2,MAP2K1 MAP2K2
Dactolisib,Dactolisib,3,MTOR PIK3CG PIK3CA
GSK2256098C,GSK2256098C,1,PTK2
CT7033-2,CT7033-2,5,KDM4A KDM4C KDM4E KDM3A KDM6B
IWP-2,IWP-2,4,PORCN CSNK1D CTNNB1 WNT3A
AZ960,AZ960,2,JAK2 JAK3
WEHI-539,WEHI-539,6,BCL2L1 MCL1 PMAIP1 NOX4 MAPK14 BTRC
EHT-1864,EHT-1864,3,RAC1 RAC2 RAC3
Staurosporine,Staurosporine,21,IKBKB CHRM1 LCK PIM1 ITK SYK MAPKAPK2 GSK3B CSK CDK2 PIK3CG PDPK1 PRKCQ ZAP70 PRKCA CDK1 MAPK14 MARK1 MARK3 PRKCB PRKCG
JNK Inhibitor VIII,JNK Inhibitor VIII,3,MAPK8 MAPK9 MAPK10
Piperlongumine,Piperlongumine,5,STAT3 NCOA4 FTH1 MYC JAK2
CDK9_5576,CDK9_5576,3,CDK9 MYC MCL1
GSK2110183B,GSK2110183B,3,AKT1 AKT2 AKT3
ZM447439,ZM447439,2,AURKB AURKA
N29087-69-1,N29087-69-1,0,
150412,150412,0,
Alpelisib,Alpelisib,4,PIK3CA PIK3CB PIK3CD PIK3CG
Dihydrorotenone,Dihydrorotenone,5,MT-ND1 MT-ND2 NDUFS1 NDUFS2 NDUFS7
Pyridostatin,Pyridostatin,1,DHX36
Uprosertib,Uprosertib,3,AKT3 AKT1 AKT2
123829,123829,0,
AZD6482,AZD6482,9,PIK3CB PIK3CA PIK3CD PIK3CG AKT1 GSK3B MAPK1 ROCK2 ZYX
SB216763,SB216763,2,GSK3A GSK3B
Sapitinib,Sapitinib,3,ERBB2 EGFR ERBB3
Talazoparib,Talazoparib,2,PARP1 PARP2
BI-2536,BI-2536,4,PLK1 PLK2 PLK3 BRD4
IRAK4_4710,IRAK4_4710,4,IRAK4 MYD88 IRAK1 TRAF6
Navitoclax,Navitoclax,5,BCL2 BCL2L1 BCL2L2 BAD CCND1
PD173074,PD173074,5,FGFR1 FGFR2 FGFR3 HMGA2 ABCC10
OF-1,OF-1,1,BRD1
SL0101,SL0101,5,RPS6KA1 RPS6KA3 AURKB PIM1 PIM3
Bosutinib,Bosutinib,16,ABL1 SRC LYN HCK FGR TEC MAP2K1 MAP2K2 MAP3K2 CAMK2G SLK BCR CAMK1D CDK2 FYN MAP4K5
BMS-536924,BMS-536924,7,IGF1R INSR AKT1 ERBB2 MAPK1 MET PDGFRA
Ulixertinib,Ulixertinib,7,MAPK3 MAPK1 BRAF MAP2K1 KRAS NRAS CEACAM6
Sinularin,Sinularin,4,ULK1 FOXO3 ATG4A BIRC5
TAF1_5496,TAF1_5496,2,TAF1 FLT3
UNC0638,UNC0638,2,EHMT2 EHMT1
667880,667880,0,
N25720-51-A1,N25720-51-A1,0,
765771,765771,0,
Taselisib,Taselisib,5,PIK3CA PIK3CG PIK3CB PIK3CD MTOR
PRIMA-1MET,PRIMA-1MET,1,TP53
L-Oxonoreleagnine,L-Oxonoreleagnine,0,
P22077,P22077,2,USP7 USP47
Podophyllotoxin bromide,Podophyllotoxin bromide,4,TOP2B TUBA4A TUBB TOP2A
BDILV000379a,BDILV000379a,2,BAZ2A BAZ2B
Vinorelbine,Vinorelbine,16,TUBB TUBA1A TUBA1B TUBA1C TUBA3C TUBA3D TUBA3E TUBA4A TUBB1 TUBB2A TUBB2B TUBB3 TUBB4A TUBB4B TUBB6 TUBB8
Acetalax,Acetalax,1,TRPM4
GSK-LSD1,GSK-LSD1,6,KDM1A APC2 DKK1 HIF1A CTGF CDH1
743380,743380,0,
Eg5_9814,Eg5_9814,3,KIF11 MAD2L1 BUB1B
GSK591,GSK591,6,PRMT5 CDKN2B EZH2 FGL1 TCF12 EGFR
NU7441,NU7441,6,PRKDC XRCC5 XRCC6 TFRC ACSL4 CGAS
N30652-18-1,N30652-18-1,0,
AZD8186,AZD8186,2,PIK3CB PIK3CD
Vismodegib,Vismodegib,5,SMO PTCH1 GLI1 GLI2 SUFU
Bromosporine,Bromosporine,4,CECR2 BRD2 BRD4 BRD9
UNC0379,UNC0379,3,KMT5A TP53 PCNA
BMS-754807,BMS-754807,3,IGF1R INSR AKT1
BDP-00009066,BDP-00009066,0,
GNE-317,GNE-317,4,PIK3CA MSN MTOR AKT1
Epirubicin,Epirubicin,3,TOP2A TOP2B CHD1
MN-64,MN-64,2,TNKS TNKS2
Rapamycin,Rapamycin,3,MTOR FKBP1A CYP3A4
AGK2,AGK2,3,SIRT2 BAZ2A BAZ2B
GSK2276186C,GSK2276186C,7,JAK1 JAK2 JAK3 STAT1 STAT3 STAT5A STAT5B
RO-3306,RO-3306,3,CDK1 CCNB1 CCNA2
Bleomycin,Bleomycin,7,BLMH LIG1 LIG3 XRCC1 PARP1 TP53 CDKN1A
Dinaciclib,Dinaciclib,4,CDK9 CDK2 CDK1 CDK5
MIM1,MIM1,2,MCL1 PMAIP1
IGF1R_3801,IGF1R_3801,4,IGF1R IRS1 AKT1 MAPK8
Elesclomol,Elesclomol,5,HSP90AA1 HSPA1A FDX1 NFKB1 SLC31A1
PAK_5339,PAK_5339,2,PAK1 PAK2
alpha-lipoic acid,alpha-lipoic acid,3,LIPT1 SLC5A6 LIAS
PFI-1,PFI-1,4,BRD4 BRD2 MYC AURKB
Entospletinib,Entospletinib,6,SYK BTK PIK3CD PLCG2 AKT1 MAPK1
Nelarabine,Nelarabine,6,POLA1 LIG1 PRIM1 RRM1 ADA DCK
N-acetyl cysteine,N-acetyl cysteine,5,GCLC GCLM GSS SLC7A11 NFE2L2
ABT737,ABT737,8,BCL2 BCL2L1 BCL2L2 BCL2A1 MCL1 BAX BAK1 PMAIP1
BX795,BX795,5,TBK1 PDPK1 IKBKB AURKB AURKC
AZD5582,AZD5582,3,XIAP BIRC2 BIRC3
Mirin,Mirin,2,MRE11A MRE11
ICL-SIRT078,ICL-SIRT078,4,SIRT2 SIRT1 SIRT3 SIRT5
PRT062607,PRT062607,3,SYK FGR MAP3K9
BIBR-1532,BIBR-1532,2,TERT TERC
GSK626616AC,GSK626616AC,0,
CPI-637,CPI-637,7,EP300 CREBBP MYC IRF4 CD30 IL10 PD-L1
615590,615590,0,
Gemcitabine,Gemcitabine,6,RRM1 RRM2 TYMS CMPK1 DCK CDA
VTP-A,VTP-A,0,
BDF00022089a,BDF00022089a,3,BRPF1 BRD1 BRPF3
AZD1332,AZD1332,3,NTRK1 NTRK2 NTRK3
PBD-288,PBD-288,0,
KU-55933,KU-55933,2,ATM PRKDC
GSK343,GSK343,3,EZH2 HIF1A SREBF2
NVP-ADW742,NVP-ADW742,6,IGF1R PIK3CA AKT1 MAPK14 GSK3B BCL2
Obatoclax Mesylate,Obatoclax Mesylate,4,BCL2 BCL2L1 BCL2L2 MCL1
POMHEX,POMHEX,2,ENO2 ENO1
776928,776928,0,
720427,720427,0,
OSI-027,OSI-027,1,MTOR
630600,630600,0,
ULK1_4989,ULK1_4989,2,ULK1 SIRT2
AZD4547,AZD4547,7,FGFR1 FGFR2 FGFR3 FGFR4 IGF1R KDR CCND1
Bortezomib,Bortezomib,23,PSMB5 PSMB1 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMA8 PSMB2 PSMB3 PSMB4 PSMB6 PSMB7 PSMB8 PSMB9 PSMB10 PSMB11 PSMD1 PSMD2 PRSS1 RELA
Cytarabine,Cytarabine,7,POLB POLA1 POLD1 POLE DCK CDA SLC29A1
A-366,A-366,2,EHMT1 EHMT2
Serdemetan,Serdemetan,2,MDM2 TP53
TW 37,TW 37,3,BCL2 BCL2L1 MCL1
50869,50869,0,
SN-38,SN-38,1,TOP1
LY2109761,LY2109761,3,TGFB1 TGFBR1 TGFBR2
XAV939,XAV939,4,TNKS TNKS2 AXIN CTNNB1
LMB_AB1,LMB_AB1,2,ADRA1A ADRB1
Tozasertib,Tozasertib,6,AURKA AURKB AURKC ABL1 FLT3 JAK2
CCT007093,CCT007093,7,PPM1D p38 MAPK NLRP3 CASP1 GSDMD MDM2
MG-132,MG-132,2,PSMB1 PSMB5
741909,741909,0,
GSK-LSD1-2HCl,GSK-LSD1-2HCl,5,KDM1A APC2 DKK1 HIF1A SQSTM1
CZC24832,CZC24832,1,PIK3CG
WZ4003,WZ4003,4,NUAK1 NUAK2 PPP1R12A PPP1CB
Entinostat,Entinostat,4,HDAC1 HDAC2 HDAC3 HDAC9
GSK2830371,GSK2830371,1,PPM1D
AZ6102,AZ6102,3,TNKS TNKS2 AXIN
Buparlisib,Buparlisib,4,PIK3CD PIK3CG PIK3CB PIK3CA
LGK974,LGK974,6,PORCN WNT3A WNT10A CTNNB1 CCND1 MYC
EPZ004777,EPZ004777,1,DOT1L
JAK_8517,JAK_8517,2,JAK1 JAK2
VSP34_8731,VSP34_8731,6,PIK3C3 ATG5 TSC2 GSK3B CTNNB1 CGAS
BDOCA000347a,BDOCA000347a,3,BRPF1 BRD1 BRPF3
THR-103,THR-103,5,HRAS KRAS NRAS PIK3CA MTOR
Wee1 Inhibitor,Wee1 Inhibitor,4,WEE1 CHEK1 CDK1 CDC25A
Veliparib,Veliparib,2,PARP1 PARP2
PFI3,PFI3,3,PBRM1 SMARCA4 SMARCA2
THR-102,THR-102,3,KRAS HRAS NRAS
AZD3759,AZD3759,1,EGFR
PF-4708671,PF-4708671,6,RPS6KB1 RPS6 KEAP1 NFE2L2 PRKAA1 PRKAA2
ML323,ML323,2,USP1 WDR48
AGI-5198,AGI-5198,3,IDH1 ELAVL1 GLUD2
Rucaparib,Rucaparib,3,PARP1 PARP2 PARP3
Gallibiscoquinazole,Gallibiscoquinazole,0,
BMS-345541,BMS-345541,5,IKBKB CHUK NFKB1 RELA IKBKG
Bleomycin (50 uM),Bleomycin (50 uM),4,LIG1 LIG3 ATM TP53
5-azacytidine,5-azacytidine,5,DNMT1 DNMT3A DNMT3B CDA UCK2
Avagacestat,Avagacestat,6,APH1A NCSTN APH1B PSENEN PSEN1 APP
GSK269962A,GSK269962A,6,ROCK1 ROCK2 LIMK1 CFL1 RHOA MYL9
WIKI4,WIKI4,2,TNKS TNKS2
5-Fluorouracil,5-Fluorouracil,2,TYMS DPYD
Tanespimycin,Tanespimycin,2,HSP90AA1 HSP90AB1
MK-8776,MK-8776,3,CHEK1 CHEK2 CDK2
RVX-208,RVX-208,6,BRD4 BRD2 BRD3 BRDT PLK1 NLRP3
HKMTI-1-005,HKMTI-1-005,6,EZH2 G9A GLP RARα CXCL10 CXCR3
Foretinib,Foretinib,10,MET KDR FLT1 FLT4 TEK MST1R PDGFRA FGFR1 EGFR HGF
AMG-319,AMG-319,5,PIK3CD PIK3CA PIK3CB PIK3CG MTOR
GW441756,GW441756,1,NTRK1
EPZ5676,EPZ5676,6,DOT1L HOXA9 MEIS1 RUBICON TRIM25 BCL3
LJI308,LJI308,4,RPS6KA2 RPS6KA1 RPS6KA3 YBX1
AZD5438,AZD5438,8,CDK2 CDK1 CDK9 RB1 POLR2A RAD51 XRCC5 CASP8
123138,123138,0,
Ipatasertib,Ipatasertib,3,AKT1 AKT2 AKT3
